platform,productId,productKey,brand,productName,displayName,productUrl,imageUrlCandidate,extractMethod,status,failReason
oliveyoung,1446,oliveyoung::A000000253919,쥬베룩,쥬베룩 PDLLA 콜라겐 부스팅 마스크 4매,쥬베룩 PDLLA 콜라겐 부스팅 마스크 4매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253919,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025391912ko.jpg?l=ko,og:image,OK,
oliveyoung,743,oliveyoung::A000000255622,네시픽,[짜서쓰는클밤/쫀쫀모공] 네시픽 라이스 펩타 콜라겐 샤베트 클렌징밤 80g,[짜서쓰는클밤/쫀쫀모공] 네시픽 라이스 펩타 콜라겐 샤베트 클렌징밤 80g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255622,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025562211ko.jpg?l=ko,og:image,OK,
oliveyoung,1052,oliveyoung::A000000254773,쥬베룩,쥬베룩 PDLLA 콜라겐 부스팅 앰플 20g (+프로텍팅 크림 2ml*5EA) (2604),쥬베룩 PDLLA 콜라겐 부스팅 앰플 20g (+프로텍팅 크림 2ml*5EA) (2604),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254773,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025477308ko.jpg?l=ko,og:image,OK,
oliveyoung,807,oliveyoung::A000000254492,바이오던스,[NEW/단독선런칭] 바이오던스 아이패치 60매 2종 택 1 (콜라겐/캐비어 PDRN),바이오던스 아이패치 60매 2종 택 1 (콜라겐/캐비어 PDRN),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254492,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025449214ko.jpg?l=ko,og:image,OK,
oliveyoung,1178,oliveyoung::A000000247859,조성아뷰티,[성한빈 PICK] 원더바스 레몬청 팩클렌저 200ml 기획 (+50ml),[성한빈 PICK] 원더바스 레몬청 팩클렌저 200ml 기획 (+50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247859,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024785919ko.jpg?l=ko,og:image,OK,
oliveyoung,1272,oliveyoung::A000000254114,AHC,[포켓몬 에디션] AHC 프로샷 아이크림 포페이스 30ml 기획 (+세럼 10ml+피카츄 액정클리너),AHC 프로샷 아이크림 포페이스 30ml 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254114,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025411402ko.jpg?l=ko,og:image,OK,
oliveyoung,1201,oliveyoung::A000000233337,션리,[수분진정/광채캡슐크림] 션리 다시마 글레이즈드 크림 50g,[수분진정/광채캡슐크림] 션리 다시마 글레이즈드 크림 50g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233337,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023333703ko.png?l=ko,og:image,OK,
oliveyoung,228,oliveyoung::A000000254406,체이싱래빗,NEW[파데프리/톤업선/톤업선크림] 체이싱래빗 올어바웃 글로우 톤업 선 70ml,NEW[파데프리/톤업선/톤업선크림] 체이싱래빗 올어바웃 글로우 톤업 선 70ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254406,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025440614ko.jpg?l=ko,og:image,OK,
oliveyoung,681,oliveyoung::A000000225083,수이사이,수이사이 뷰티 클리어 그린/핑크 파우더워시 4종 택1 (15개입/32개입),수이사이 뷰티 클리어 그린/핑크 파우더워시 4종 택1 (15개입/32개입),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225083,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022508307ko.jpg?l=ko,og:image,OK,
oliveyoung,1045,oliveyoung::A000000255059,빌리프,[6월올영픽/쿨링진정패드] 빌리프 아쿠아 밤 프로즌 프렙 패드 60매 기획 (+30매 리필 증정),[6월올영픽/쿨링진정패드] 빌리프 아쿠아 밤 프로즌 프렙 패드 60매 기획 (+30매 리필 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255059,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025505911ko.jpg?l=ko,og:image,OK,
oliveyoung,1096,oliveyoung::A000000251762,비레디,[포켓몬 에디션] 비레디 아웃런 선스틱 (+피카츄 기름종이),비레디 아웃런 선스틱 (+피카츄 기름종이),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000251762,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025176223ko.jpg?l=ko,og:image,OK,
oliveyoung,1065,oliveyoung::A000000249961,하우스오브비,[NEW/파리의금손 Pick]하우스오브비 PDRN 페이스 필름 4매입,[NEW/파리의금손 Pick]하우스오브비 PDRN 페이스 필름 4매입,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000249961,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024996115ko.jpg?l=ko,og:image,OK,
oliveyoung,1102,oliveyoung::A000000244349,톡스앤필,톡스앤필 앵글 컷 리프팅 패치 5매입,톡스앤필 앵글 컷 리프팅 패치 5매입,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244349,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024434907ko.jpg?l=ko,og:image,OK,
oliveyoung,358,oliveyoung::A000000244733,퐁당,퐁당 포어 딥 클린 버블 클렌저 145g 단품/기획,퐁당 포어 딥 클린 버블 클렌저 145g 단품/기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244733,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024473311ko.jpg?l=ko,og:image,OK,
oliveyoung,936,oliveyoung::A000000253592,셀리맥스,셀리맥스 브라이트닝 모공잡티크림 35ml 기획 (+7ml*2),셀리맥스 브라이트닝 모공잡티크림 35ml 기획 (+7ml*2),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253592,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025359206ko.png?l=ko,og:image,OK,
oliveyoung,515,oliveyoung::A000000254119,AHC,[포켓몬 에디션] AHC 마스터즈 아쿠아 리치 선크림 50ml 1+1 기획 (+피카츄 핀 거울),AHC 마스터즈 아쿠아 리치 선크림 50ml 1+1 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254119,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025411907ko.jpg?l=ko,og:image,OK,
oliveyoung,682,oliveyoung::A000000248847,비레디,[포켓몬 에디션]비레디 오일캡처 올인원 로션 기획(+피카츄 스트레스볼),비레디 오일캡처 올인원 로션 기획(+피카츄 스트레스볼),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248847,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024884753ko.jpg?l=ko,og:image,OK,
oliveyoung,907,oliveyoung::A000000235913,스타라이크,[화잘먹/24시간속보습] 스타라이크 PDRN 스킨 핏 수분 선크림 50ml,[화잘먹/24시간속보습] 스타라이크 PDRN 스킨 핏 수분 선크림 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000235913,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023591320ko.jpg?l=ko,og:image,OK,
oliveyoung,439,oliveyoung::A000000204635,설화수,[지함보 기획/추가 증정 2종] 설화수 탄력 3종 기획,[지함보 기획/추가 증정 2종] 설화수 탄력 3종 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204635,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020463567ko.png?l=ko,og:image,OK,
oliveyoung,722,oliveyoung::A000000250129,AHC,AHC 마스터즈 톤업 선세럼 50ml 더블 기획,AHC 마스터즈 톤업 선세럼 50ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250129,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025012909ko.jpg?l=ko,og:image,OK,
musinsa,730,musinsa::3324516,elizabetharden,그린티 허니드롭스 바디크림 500ml,그린티 허니드롭스 바디크림 500ml,https://www.musinsa.com/products/3324516,https://image.msscdn.net/images/goods_img/20230525/3324516/3324516_17167831492711_500.jpg,og:image,OK,
musinsa,348,musinsa::6299094,obge,액티브 스웨트프루프 선스틱 + 쿨 데오 샤워티슈 1매,액티브 스웨트프루프 선스틱 + 쿨 데오 샤워티슈 1매,https://www.musinsa.com/products/6299094,https://image.msscdn.net/images/goods_img/20260413/6299094/6299094_17760568191556_500.jpg,og:image,OK,
musinsa,580,musinsa::3063032,hamel,비건 릴리프 워터 에센스 선크림,비건 릴리프 워터 에센스 선크림,https://www.musinsa.com/products/3063032,https://image.msscdn.net/images/goods_img/20230207/3063032/3063032_17152302187507_500.jpg,og:image,OK,
musinsa,978,musinsa::6261460,beplain,[SET] 아쿠아 퓨어 히알루로닉 크림  2개 + 세럼 2개 (증정: 멀티 히알루론산 마스크 5매),[SET] 아쿠아 퓨어 히알루로닉 크림  2개 + 세럼 2개 (증정: 멀티 히알루론산 마스크 5매),https://www.musinsa.com/products/6261460,https://image.msscdn.net/images/goods_img/20260406/6261460/6261460_17772722073854_500.jpg,og:image,OK,
musinsa,476,musinsa::5859496,onthebody,[옵션선택] 코튼풋 발을씻자 풋샴푸 510ml 2개 + 리필 500ml 1개,[옵션선택] 코튼풋 발을씻자 풋샴푸 510ml 2개 + 리필 500ml 1개,https://www.musinsa.com/products/5859496,https://image.msscdn.net/images/goods_img/20251229/5859496/5859496_17737309825330_500.jpg,og:image,OK,
musinsa,1139,musinsa::3202723,typeno,TYPE No.91 원더바이브 핸드워시 350ml,TYPE No.91 원더바이브 핸드워시 350ml,https://www.musinsa.com/products/3202723,https://image.msscdn.net/images/goods_img/20230403/3202723/3202723_17116749621003_500.jpg,og:image,OK,
